id,popularity
02mqSVqFLY0dWJFSsykksZ,0
02opp1cycqiFNDpLd2o1J3,62
02yD6Wmpx5kLAoXLQOnuEb,69
02yNbMZjYO8dSvapREJTMZ,0
02yRHV9Cgk8CUS2fx9lKVC,47
0300TFnZhS59HGB9RknpGM,0
0301nLjG0ti26rx5ZmfqtP,59
030mJW1mvoQH7CIQIGETzl,0
031AIGrfnhZYJxegTuYw9W,46
031uTUhyy6xmDJqmeWJBi9,53
032MZWu5jOrC9oCahdS6Oa,13
0336UwEBwBBao8uWCuugYr,57
0339geBQ7E43FuEyDlO3td,0
035AKh3hoODUcF9XV87SUc,0
035QPHPAcqApSGMMcogT45,52
0363w3IUcO4cJMsAFLpfLY,0
036GQb6SETOJJG8BxJTNxc,52
0375PEO6HIwCHx5Y2sowQm,53
037Q3LMK7nqfCsTsD0E0JP,0
037fqW4P2XpIzHV7PqWdru,46
038jgLNIvp7QQNf5vILf5d,57
03AHfpOxCjVVwQzS7zobqQ,42
03AhYPRQeOqG2j54Tdg94E,53
03BB0xEzzKC24Z6zDpZ3QC,43
03By6gD02qhtvIQiK8KidK,53
03CLsFk6JSz301bKuukPSD,0
03CUcxdMZbFbregemxKv90,0
03CedV4qC3FU6OCDVuIidD,9
03CjneOilv45X3Tbh7Wapk,0
03Cq7IIBpJoJ2YuMPfzV0S,18
03DQmSDUFs2qItZQbWz2s4,0
03DrwKCR5YhSyQiAQUqzxK,43
03EEQbkxdoGlYHUGuV1bXd,29
03RFScByLwJTxTme6n4BpP,47
03T5Oc97Dox93u4wAwnSpJ,1
03TY9Tv4ELLny0j3ScInPt,0
03U8IwhNay1a8cHAJ7N7yf,20
03VXrViYqJpdhuBEV0p0ak,0
03W7s9xgn0RYlNVqEkjGkG,14
03WFAhoOVLmynaOBtZcyl7,30
03WmeqPnjaBnm4lfwm8v8z,47
03WsrEB8eyCeUfvRxGP5JX,35
03WuFsWpkytZ6c5iidS8Im,1
03X3YEhpBI3Yl651OdqOCr,42
03XCbxTcOKkjVZJE6Q4bN1,40
03Xf1sWJtmyCwK6AFLe8M1,0
03XjpGGdsIPouALXem2Cku,58
03XwnKr4R5m6B0oniEl7Fh,26
03Y4XvMs8CcSVM7zQwdECF,0
03YZE3jPeCfrfNOvSOimFp,0
03YZnK3XQWKpvo9TyNZzXf,53
03YrcdfsS7qpbTE1OVxanv,21
03Z9Xiu6te6MbMRlICuDGL,51
03ZwNF6FTvazNuOXNQf8k8,52
03aHYlzPaJnypjFPkEJVJy,13
03b1NUHnoavfpLLKcEMfIb,51
03b3M2rSs8H5DJV63ZGBCO,0
03bqBfbSHWlNIN6wWBDtmP,29
03c1SqmzSJd9orRCdckFD1,15
03c9tJLpe3Pf2KANZRKRo6,26
03dTMO4H8B2OSv5FmXtpON,26
03eIEzOHqJrAV6gUhTV9Va,33
03eVpHrGANUcDXDGRXFgGr,0
03eYWfN1F3iAcMdMnsjl3z,43
03m03OVQGPuzt8Rw2r0a7t,54
03mL1aQEv2GNEDGaU2IbyU,0
03mfJFcTsxfldb0DPI4ygj,55
03n2zDv0TXbH2q9XpzYpqY,51
03oACQmo4rDPHGNOAj75Hj,0
03oIQFAzKf0bomTW4VX62H,0
03oL5fV4T4Yqm2DLSOAGb2,0
03pRnmoWR9IVKkIR73iGIG,50
03qDVofuUUQSsSQCLWX0eF,55
03qKJWqX0I2tlMJiU72P1Y,48
03qUZnfrKL8RKZnCppIKzO,0
03qhZFnLpipdPWSuVV2pZM,0
03qjALA7Esk2oUdQafLksU,40
03rNz0G4u4RnHmS2fhI8tf,19
03rukIHnD1UZ5spGv03W6a,0
03sQJmtsGDLrBtlKoAvUTt,41
03sno6MIkoVX5eC4pRKMzr,31
03tg6cOOCCZNPRZeOmYbYx,39
03tqyYWC9Um2ZqU0ZN849H,76
03uqdEuopXPSCg4MvgA2fI,47
03v6RgqWOMWFaaW83ep2hF,46
03v70ZBxmcPX3RWAZMzqaW,61
03vcyM16MDt0LaPXhYYwZk,0
03vvyYXnPCmaPEf2HzV0DH,0
03w1u0L5fS0F7izSUkdqS2,48
03wDiasOhgq9TMSIPskGr4,43
03wGihTta45OXz1z9sqPSa,0
03wKMRNYVvw6s9nm4I4jUS,61
03wwuZo54BTjWuU1Z5RAra,36
03wxNDkRZO34BV3Z27566C,33
03xNUQYx0Mb7Sdsq0YcZgY,50
046irIGshCqu24AjmEWZtr,0
046r9OIF1bHuTeZoyk3b6r,48
047SuYNbH7qrjEO6RhzGKU,40
047fCsbO4NdmwCBn8pcUXl,73
048AQ5XBnvStuTn7X2pGSY,43
048fAgdSLnAbQZG1ePSUKb,44
049oNasB6PAy2Pda46FLds,10
049wfFS3kAsdmGOH8ktYJ3,51
04A8bbdUo0wkesKOWSMztk,39
04AS0WvYHXlctDfKojeSsS,35
04AXn8KrUtCMtN1dZf5Fml,28
04AYgtKFrpldRXe5y0LNGQ,56
04BF15u9oROd5LLFIDcOdU,31
04BSvYghzdxjSJNpee36er,59
04BcODyhCDTV7SBFeJHOXe,38
04BwE5LUGe3VhyS08aHR95,21
04CBANKFppVIjXqqY0qodY,4
04CpKcl1ItOezCVVkIL3E4,0
04CttTezSnv71USiiG9mIo,52
04CusIENGzsA240PIZNpG1,19
04CxdRXJQBdw4YwfdYuoCF,41
04DwTuZ2VBdJCCC5TROn7L,22
04DysC7XwYiKJqYwGM8mkU,0
04EARWs2dTzQRZfCeZk53w,4
04ECGtAFKdGE6tOzVAKo7U,36
04EDShdWyBr2aJPqjFjKAQ,38
04EqqBVDCU2LOtxOMZ223T,30
04F1slSLfciNXAPZgdXtmW,46
04F6rARD2mv4JiT8WglIDz,54
04FISYzXJXx938eX8YJjNh,0
04FXF9tLQvYzc9ZWnTpaA3,47
04Oz91r3uVBvoKbzUCHSg5,0
04PydaEH97XN7YohGteKpK,59
04Q40uFXrJr8xVbe5Ygl8V,25
04QKeqtQ1KCDHTXK6mNwqX,52
04QTBqa3IA4ZAKEuqRPzEH,60
04R63LtwXGvm2OO5zyDa3h,32
04Rz403IY7QUqgfrTWX6OU,48
04SEyXxzkU3KGa7RIjnqFa,45
04T5w7fTgPrqORcnTced8i,9
04THq9ESnlipU969vuvSJx,56
04TaLOwlQA8wbXbsru1K8P,0
04UTqRsNm7ozil6lXW05dB,35
04UVqH7qE1vPhtuN9kud5E,39
04VArZKHm1xesMxqnsutDY,52
04Vllk7ZoynL7XHuOTSR64,0
04WIwudlhPrExXuOAx9n3d,0
